MIBiG accession	compound name	SMILES	PMID / DOI	Added_from
BGC0001846	valinomycin	CC1C(=O)NC(C(=O)OC(C(=O)NC(C(=O)OC(C(=O)NC(C(=O)OC(C(=O)NC(C(=O)OC(C(=O)NC(C(=O)OC(C(=O)NC(C(=O)O1)C(C)C)C(C)C)C(C)C)C)C(C)C)C(C)C)C(C)C)C)C(C)C)C(C)C)C(C)C	10.1002/slct.201900922	https://pubchem.ncbi.nlm.nih.gov/compound/441139#section=Canonical-SMILES
BGC0001846	montanastatin	CC1C(=O)NC(C(=O)OC(C(=O)NC(C(=O)OC(C(=O)NC(C(=O)OC(C(=O)NC(C(=O)O1)C(C)C)C(C)C)C(C)C)C)C(C)C)C(C)C)C(C)C	10.1002/slct.201900922	https://pubchem.ncbi.nlm.nih.gov/compound/193490#section=Canonical-SMILES
BGC0001848	diazaquinomycin H	CC1=CC(=O)NC2=C1C(=O)C3=C(C2=O)NC(=O)C=C3CCCCCCC(C)C	10.1021/acs.jnatprod.8b00394,10.1021/acsinfecdis.5b00005,30896942	https://pubchem.ncbi.nlm.nih.gov/compound/134815171#section=Canonical-SMILES
BGC0001848	diazaquinomycin J	CC1=CC(=O)NC2=C1C(=O)C3=C(C2=O)NC(=O)C=C3CCCCCCCC(C)C	10.1021/acs.jnatprod.8b00394,10.1021/acsinfecdis.5b00005,30896942	https://pubchem.ncbi.nlm.nih.gov/compound/134815172#section=Canonical-SMILES
BGC0001850	diazaquinomycin A	CCCC1=C(C(=O)NC2=C1C(=O)C3=C(C2=O)NC(=O)C(=C3CCC)C)C	10.3390/md12063574,10.1016/S0040-4039(00)88190-3,30896942	https://pubchem.ncbi.nlm.nih.gov/compound/122105#section=Canonical-SMILES
BGC0001850	diazaquinomycin E	CCCCCC1=CC(=O)NC2=C1C(=O)C3=C(C2=O)NC(=O)C=C3CCCCC	10.3390/md12063574,10.1016/S0040-4039(00)88190-3,30896942	https://pubchem.ncbi.nlm.nih.gov/compound/134814868#section=Canonical-SMILES
BGC0001851	komodoquinone B	CC1(CC(C2=C(C1)C(=C3C(=C2O)C(=O)C4=C(C3=O)C=CC=C4O)O)O)O	30995392	https://pubchem.ncbi.nlm.nih.gov/compound/10021147#section=Canonical-SMILES
BGC0001852	komodoquinone B	CC1(CC(C2=C(C1)C(=C3C(=C2O)C(=O)C4=C(C3=O)C=CC=C4O)O)O)O	30995392	https://pubchem.ncbi.nlm.nih.gov/compound/10021147#section=Canonical-SMILES
BGC0001856	caniferolide A	CCC(C(C)C(C(C)C(C(C)C1C(C2C(O2)C(CCCC(CC(CC(CC3CC(C(C(O3)(C(=O)C(C(CCC(CCCC(CC(C(C=CC(=O)O1)C)O)O)O)C)O)O)O)OS(=O)(=O)O)O)O)O)O)C)O)O)OC4CC(C(C(O4)C)OC5CCC(C(O5)C)OC(=O)C(C)C(C6=CC7=C(C=C6)C(=O)C(=CC7=O)C)O)(C)O	30806648	https://pubchem.ncbi.nlm.nih.gov/compound/Caniferolide-A#section=Canonical-SMILES
BGC0001856	caniferolide B	CCC(C(C)C(C(C)C(C(C)C1C(C2C(O2)C(CCCC(CC(CC(CC3CC(C(C(O3)(C(=O)C(C(CCC(CCCC(CC(C(C=CC(=O)O1)C)O)O)O)C)O)O)O)O)O)O)O)O)C)O)O)OC4CC(C(C(O4)C)OC5CCC(C(O5)C)OC(=O)C(C)C(C6=CC7=C(C=C6)C(=O)C(=CC7=O)C)O)(C)O	30806648	https://pubchem.ncbi.nlm.nih.gov/compound/Caniferolide-B#section=Canonical-SMILES
